,rates
AED,4.017948
AFN,77.180169
ALL,104.103738
AMD,443.584313
ANG,1.971445
AOA,906.602292
ARS,891.533657
AUD,1.634873
AWG,1.971888
AZN,1.861926
BAM,1.954538
BBD,2.208674
BDT,120.052489
BGN,1.955844
BHD,0.412371
BIF,3117.70134
BMD,1.093974
BND,1.45606
BOB,7.559189
BRL,5.354674
BSD,1.093894
BTC,2.4334283e-05
BTN,90.8091
BWP,14.782523
BYN,3.579289
BYR,21441.884283
BZD,2.204976
CAD,1.464027
CDF,2937.319744
CHF,0.93246
CLF,0.036481
CLP,1007.057863
CNY,7.844997
COP,4321.469561
CRC,570.037172
CUC,1.093974
CUP,28.990303
CVE,110.193855
CZK,24.581959
DJF,194.765142
DKK,7.456831
DOP,64.078921
DZD,147.175751
EGP,33.803573
ERN,16.409605
ETB,61.858927
EUR,1.0
FJD,2.449624
FKP,0.860217
GBP,0.859945
GEL,2.937317
GGP,0.860217
GHS,13.093666
GIP,0.860217
GMD,73.597088
GNF,9402.929102
GTQ,8.54852
GYD,229.044214
HKD,8.554748
HNL,26.976583
HRK,7.637873
HTG,144.017017
HUF,378.172456
IDR,17020.972514
ILS,4.097271
IMP,0.860217
INR,90.814639
IQD,1432.974816
IRR,45987.920798
ISK,150.103985
JEP,0.860217
JMD,169.362201
JOD,0.776064
JPY,159.114111
KES,173.110289
KGS,97.71034
KHR,4478.108758
KMF,491.74126
KPW,984.568377
KRW,1443.908518
KWD,0.336418
KYD,0.911616
KZT,497.011382
LAK,22562.638925
LBP,16441.335123
LKR,353.343483
LRD,206.569567
LSL,20.345626
LTL,3.23022
LVL,0.661734
LYD,5.256606
MAD,10.901061
MDL,19.416641
MGA,5008.811901
MKD,61.52055
MMK,2297.22732
MNT,3742.470593
MOP,8.812191
MRU,43.376412
MUR,48.342151
MVR,16.858253
MWK,1841.427935
MXN,18.607453
MYR,5.077684
MZN,69.193781
NAD,20.348725
NGN,1000.362504
NIO,40.054139
NOK,11.315194
NPR,145.29452
NZD,1.757742
OMR,0.421124
PAB,1.093894
PEN,4.058898
PGK,4.142363
PHP,61.445198
PKR,307.60571
PLN,4.340505
PYG,7969.890754
QAR,3.983706
RON,4.972765
RSD,117.2291
RUB,99.446797
RWF,1383.413137
SAR,4.102733
SBD,9.248114
SCR,14.192175
SDG,657.478355
SEK,11.204615
SGD,1.457408
SHP,1.39525
SLE,24.433873
SLL,21605.980189
SOS,624.65924
SRD,40.310717
STD,22643.046616
SYP,14223.636577
SZL,20.375938
THB,38.348704
TJS,11.978221
TMT,3.839848
TND,3.384791
TOP,2.568815
TRY,32.787086
TTD,7.422276
TWD,34.050806
TZS,2745.32549
UAH,41.786412
UGX,4156.31652
USD,1.093974
UYU,43.052204
UZS,13504.28111
VEF,3926177.762766
VES,39.266673
VND,26714.837459
VUV,129.454076
WST,2.964298
XAF,655.533762
XAG,0.047937
XAU,0.00054
XCD,2.956519
XDR,0.819671
XOF,655.533762
XPF,119.331742
YER,273.876505
ZAR,20.433405
ZMK,9847.088543
ZMW,28.46888
ZWL,352.259081
